"lifestyle n,Lebensweise,null,null,null"
"prevent v,vorbeugen,null,null,null"
"illnesses pl n,Krankheiten,null,null,null"
"unwell adj,unwohl,null,null,null"
"anxious adj,unruhig,null,null,null"
"bones pl n,Knochen,null,null,null"
"brain n,Gehirn,null,null,null"
"immune system n,Immunsystem,null,null,null"
"body n,Körper,null,null,null"
"stimulate v,anregen,null,null,null"
"nightlife n,Nachtleben,null,null,null"
"architecture n,Architektur,null,null,null"
"culture n,Kultur,null,null,null"
"continent n,Kontinent,null,null,null"
"generous adj,großzügig,null,null,null"
"frightening adj,furchterregend,null,null,null"
"scientific adj,wissenschaftlich,null,null,null"
"keyring n,Schlüsselring,null,null,null"
"change n,Wechselgeld,null,null,null"
"sunscreen n,Sonnencreme,null,null,null"
